pip_deg,jt_00,jt_01,jt_02,jt_03,jt_10,jt_11,jt_12,jt_13,jt_20,jt_21,jt_22,jt_23
47.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.040130495,-0.040130495,0.000000000,0.040130495
48.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.040216392,-0.040216392,0.000000000,0.040216392
49.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.040302163,-0.040302163,0.000000000,0.040302163
50.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.040387526,-0.040387526,0.000000000,0.040387526
51.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.040472186,-0.040472186,0.000000000,0.040472186
52.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.040555836,-0.040555836,0.000000000,0.040555836
53.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.040638158,-0.040638158,0.000000000,0.040638158
54.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.040718818,-0.040718818,0.000000000,0.040718818
55.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.040797468,-0.040797468,0.000000000,0.040797468
56.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.040873747,-0.040873747,0.000000000,0.040873747
57.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.040947276,-0.040947276,0.000000000,0.040947276
58.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.041017660,-0.041017660,0.000000000,0.041017660
59.000000000,-0.007056000,0.004731000,0.000799000,-0.002163000,-0.026000000,-0.026000000,0.026000000,-0.026000000,-0.041084488,-0.041084488,0.000000000,0.041084488
