q0_deg,q1_deg,q2_deg,x_m,y_m,z_m
-10.000000000,12.000000000,4.000000000,0.161103342,-0.021617582,0.063071609
-10.000000000,12.000000000,6.000000000,0.159907014,-0.021406637,0.059803492
-10.000000000,12.000000000,8.000000000,0.158543991,-0.021166299,0.056629742
-10.000000000,12.000000000,10.000000000,0.157020521,-0.020897670,0.053555023
-10.000000000,12.000000000,12.000000000,0.155342666,-0.020601819,0.050584567
-10.000000000,12.000000000,14.000000000,0.153516451,-0.020279808,0.047723982
-10.000000000,12.000000000,16.000000000,0.151547980,-0.019932714,0.044979126
-10.000000000,12.000000000,18.000000000,0.149443517,-0.019561640,0.042355996
-10.000000000,12.000000000,20.000000000,0.147209550,-0.019167732,0.039860652
-10.000000000,12.000000000,22.000000000,0.144852841,-0.018752180,0.037499138
-10.000000000,12.000000000,24.000000000,0.142380462,-0.018316233,0.035277428
-10.000000000,12.000000000,26.000000000,0.139799826,-0.017861197,0.033201360
-10.000000000,12.000000000,28.000000000,0.137118709,-0.017388444,0.031276590
-10.000000000,12.000000000,30.000000000,0.134345268,-0.016899412,0.029508535
-10.000000000,12.000000000,32.000000000,0.131488053,-0.016395607,0.027902321
-10.000000000,12.000000000,34.000000000,0.128556012,-0.015878610,0.026462735
-10.000000000,12.000000000,36.000000000,0.125558493,-0.015350066,0.025194164
-10.000000000,12.000000000,38.000000000,0.122505241,-0.014811695,0.024100551
-10.000000000,12.000000000,40.000000000,0.119406386,-0.014265284,0.023185330
-10.000000000,12.000000000,42.000000000,0.116272430,-0.013712683,0.022451374
-10.000000000,12.000000000,44.000000000,0.113114222,-0.013155805,0.021900935
-10.000000000,12.000000000,46.000000000,0.109942930,-0.012596621,0.021535585
-10.000000000,12.000000000,48.000000000,0.106770001,-0.012037148,0.021356155
-10.000000000,12.000000000,50.000000000,0.103607118,-0.011479446,0.021362679
-10.000000000,12.000000000,52.000000000,0.100466138,-0.010925607,0.021554328
-10.000000000,12.000000000,54.000000000,0.097359034,-0.010377741,0.021929362
-10.000000000,12.000000000,56.000000000,0.094297808,-0.009837964,0.022485072
